"one","two"
1,2
2,3
3,4
4,1
5,1
6,3
7,3
8,7
9,2
10,8
11,4
12,9
13,6
14,13
15,13
16,12
17,4
18,1
19,13
20,14
21,17
22,21
23,12
24,19
25,15
26,17
27,20
28,12
29,12
30,20
31,29
32,21
33,32
34,12
35,13
36,7
37,36
38,18
39,25
40,3
41,28
42,39
43,22
44,9
45,11
46,40
47,23
48,45
49,33
50,27
51,22
52,4
53,5
54,50
55,15
56,52
57,46
58,10
59,58
60,59
61,55
62,1
63,12
64,25
65,63
66,16
67,12
68,48
69,9
70,28
71,34
72,40
73,71
74,29
75,36
76,46
77,26
78,72
79,53
80,1
81,1
82,63
83,60
84,64
85,20
86,46
87,66
88,75
89,9
90,77
91,87
92,61
93,64
94,15
95,91
96,93
97,54
98,1
99,34
100,70
101,69
102,22
103,100
104,66
105,26
106,37
107,101
108,40
109,50
110,44
111,108
112,55
113,74
114,65
115,34
116,80
117,12
118,61
119,20
120,24
121,44
122,107
123,100
124,11
125,67
126,69
127,41
128,34
129,110
130,11
131,92
132,127
133,15
134,116
135,2
136,87
137,3
138,127
139,1
140,60
141,22
142,64
143,9
144,136
145,92
146,72
147,40
148,62
149,130
150,37
151,120
152,68
153,132
154,60
155,94
156,106
157,24
158,38
159,144
160,121
161,114
162,87
163,141
164,91
165,110
166,133
167,118
168,101
169,146
170,76
171,162
172,58
173,84
174,113
175,80
176,121
177,79
178,101
179,142
180,73
181,167
182,109
183,54
184,172
185,52
186,40
187,7
188,73
189,22
190,12
191,86
192,51
193,113
194,5
195,186
196,88
197,117
198,124
199,152
200,122
201,139
202,132
203,38
204,60
205,137
206,188
207,93
208,91
209,126
210,138
211,8
212,96
213,49
214,207
215,118
216,42
217,61
218,78
219,29
220,165
221,58
222,29
223,12
224,165
225,117
226,46
227,201
228,150
229,220
230,13
231,48
232,160
233,210
234,25
235,221
236,168
237,136
238,3
239,236
240,90
241,72
242,233
243,79
244,111
245,168
246,206
247,26
248,244
249,214
250,213
251,163
252,160
253,17
254,59
255,28
256,87
257,139
258,231
259,226
260,209
261,79
262,156
263,54
264,106
265,190
266,61
267,113
268,237
269,109
270,48
271,107
272,33
273,166
274,203
275,189
276,129
277,63
278,124
279,143
280,136
281,256
282,59
283,182
284,74
285,4
286,115
287,237
288,171
289,184
290,282
291,88
292,188
293,90
294,84
295,283
296,294
297,152
298,104
299,249
300,258
301,122
302,14
303,96
304,153
305,135
306,98
307,147
308,53
309,152
310,266
311,236
312,237
313,61
314,150
315,62
316,156
317,103
318,75
319,102
320,298
321,81
322,187
323,19
324,275
325,13
326,66
327,123
328,106
329,105
330,178
331,246
332,110
333,152
334,71
335,235
336,42
337,179
338,225
339,314
340,8
341,139
342,147
343,26
344,76
345,238
346,213
347,95
348,11
349,103
350,29
351,65
352,62
353,101
354,209
355,151
356,66
357,202
358,186
359,152
360,96
361,251
362,98
363,325
364,348
365,238
366,273
367,361
368,276
369,218
370,311
371,154
372,178
373,300
374,81
375,243
376,63
377,336
378,276
379,181
380,145
381,176
382,178
383,38
384,358
385,29
386,201
387,195
388,93
389,204
390,358
391,278
392,47
393,31
394,316
395,262
396,42
397,299
398,383
399,322
400,79
401,170
402,20
403,240
404,186
405,197
406,159
407,297
408,404
409,237
410,96
411,367
412,149
413,52
414,66
415,272
416,9
417,46
418,182
419,309
420,415
421,77
422,297
423,86
424,193
425,46
426,78
427,341
428,283
429,309
430,112
431,19
432,285
433,346
434,227
435,381
436,348
437,200
438,67
439,1
440,277
441,210
442,51
443,370
444,193
445,253
446,252
447,359
448,8
449,115
450,284
451,281
452,147
453,12
454,280
455,437
456,257
457,405
458,322
459,112
460,34
461,219
462,351
463,109
464,417
465,392
466,207
467,321
468,172
469,246
470,191
471,351
472,342
473,216
474,449
475,393
476,295
477,385
478,102
479,385
480,17
481,161
482,95
483,41
484,376
485,212
486,133
487,229
488,289
489,266
490,36
491,297
492,25
493,473
494,479
495,82
496,110
497,458
498,174
499,134
500,443
501,407
502,444
503,230
504,400
505,3
506,72
507,393
508,153
509,341
510,318
511,477
512,23
513,96
514,187
515,167
516,316
517,368
518,134
519,227
520,183
521,201
522,485
523,22
524,382
525,224
526,199
527,162
528,157
529,380
530,180
531,242
532,32
533,248
534,279
535,232
536,391
537,155
538,406
539,337
540,351
541,1
542,292
543,202
544,478
545,515
546,75
547,480
548,225
549,418
550,129
551,286
552,176
553,361
554,372
555,35
556,526
557,28
558,154
559,242
560,175
561,558
562,346
563,47
564,505
565,311
566,286
567,399
568,4
569,38
570,482
571,43
572,155
573,324
574,458
575,409
576,271
577,175
578,487
579,452
580,348
581,162
582,117
583,549
584,105
585,329
586,377
587,202
588,213
589,446
590,444
591,211
592,504
593,112
594,105
595,317
596,95
597,98
598,422
599,442
600,19
601,15
602,37
603,260
604,536
605,9
606,233
607,489
608,164
609,127
610,595
611,408
612,395
613,351
614,385
615,182
616,125
617,610
618,435
619,352
620,114
621,495
622,187
623,372
624,488
625,304
626,122
627,180
628,594
629,503
630,518
631,393
632,108
633,91
634,451
635,437
636,65
637,39
638,335
639,317
640,258
641,302
642,512
643,495
644,144
645,136
646,623
647,600
648,291
649,62
650,646
651,181
652,495
653,180
654,33
655,479
656,382
657,246
658,306
659,95
660,294
661,116
662,585
663,386
664,144
665,60
666,377
667,572
668,418
669,558
670,43
671,246
672,280
673,218
674,136
675,443
676,354
677,42
678,1
679,643
680,155
681,50
682,29
683,650
684,112
685,146
686,356
687,113
688,432
689,644
690,467
691,137
692,397
693,621
694,500
695,142
696,3
697,312
698,198
699,124
700,435
701,357
702,42
703,301
704,325
705,76
706,227
707,428
708,59
709,454
710,97
711,218
712,700
713,165
714,630
715,681
716,278
717,442
718,83
719,596
720,516
721,334
722,424
723,435
724,473
725,170
726,96
727,335
728,577
729,208
730,5
731,361
732,394
733,251
734,619
735,367
736,207
737,554
738,383
739,535
740,82
741,711
742,377
743,512
744,97
745,372
746,68
747,690
748,385
749,433
750,606
751,133
752,490
753,189
754,346
755,399
756,357
757,162
758,272
759,407
760,507
761,533
762,588
763,47
764,413
765,499
766,657
767,547
768,737
769,505
770,204
771,300
772,434
773,324
774,227
775,455
776,50
777,509
778,351
779,271
780,744
781,332
782,463
783,773
784,619
785,22
786,624
787,56
788,722
789,767
790,480
791,664
792,353
793,192
794,688
795,602
796,218
797,251
798,628
799,49
800,727
801,572
802,693
803,289
804,774
805,618
806,161
807,327
808,686
809,504
810,639
811,422
812,635
813,260
814,456
815,213
816,807
817,336
818,613
819,411
820,272
821,782
822,221
823,224
824,79
825,616
826,691
827,585
828,131
829,182
830,460
831,360
832,32
833,510
834,527
835,413
836,725
837,425
838,509
839,577
840,752
841,396
842,441
843,472
844,560
845,74
846,681
847,789
848,576
849,295
850,218
851,847
852,273
853,4
854,314
855,75
856,437
857,407
858,396
859,552
860,377
861,777
862,370
863,102
864,604
865,492
866,27
867,499
868,838
869,347
870,252
871,385
872,630
873,482
874,383
875,757
876,527
877,766
878,188
879,358
880,219
881,231
882,804
883,675
884,400
885,147
886,603
887,235
888,121
889,657
890,474
891,258
892,593
893,332
894,571
895,854
896,658
897,416
898,473
899,155
900,692
901,167
902,850
903,132
904,546
905,685
906,519
907,820
908,561
909,897
910,602
911,679
912,642
913,566
914,169
915,641
916,140
917,654
918,292
919,836
920,121
921,328
922,459
923,253
924,882
925,408
926,898
927,374
928,407
929,893
930,685
931,100
932,845
933,287
934,257
935,559
936,344
937,271
938,680
939,657
940,37
941,60
942,872
943,59
944,229
945,302
946,802
947,490
